"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет добавление товаров в корзину, оформление заказа и корректность итоговой суммы.","6875","Оформления заказа и проверка итоговой суммы","Online-shop","2025-11-28","passed","2025-11-28","","test_shopping","",""
"Тест проверяет корректность работы калькулятора.","50016","Тестирование калькулятора: 7 + 8 = 15","Calculator","2025-11-28","passed","2025-11-28","","test_calculator","",""
